t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.067000,0.00000000,0.07369398,0.14551770,0.21365907,0.27641830,0.33225456,0.37982289,0.41800082,0.44590536,0.46290233,0.46861037,0.46290233,0.44590536,0.41800082,0.37982289,0.33225456,0.27641830,0.21365907,0.14551770,0.07369398,0.00000000
0.068000,0.00000000,0.07294588,0.14404476,0.21150621,0.27364911,0.32894739,0.37606673,0.41389146,0.44154233,0.45838676,0.46404393,0.45838676,0.44154233,0.41389146,0.37606673,0.32894739,0.27364911,0.21150621,0.14404476,0.07294588,0.00000000
0.069000,0.00000000,0.07220708,0.14258979,0.20937879,0.27091126,0.32567582,0.37234889,0.40982192,0.43721976,0.45391186,0.45951819,0.45391186,0.43721976,0.40982192,0.37234889,0.32567582,0.27091126,0.20937879,0.14258979,0.07220708,0.00000000
0.070000,0.00000000,0.07147733,0.14115231,0.20727618,0.26820410,0.32243922,0.36866887,0.40579184,0.43293746,0.44947755,0.45503312,0.44947755,0.43293746,0.40579184,0.36866887,0.32243922,0.26820410,0.20727618,0.14115231,0.07147733,0.00000000
0.071000,0.00000000,0.07075639,0.13973187,0.20519780,0.26552698,0.31923703,0.36502620,0.40180090,0.42869525,0.44508374,0.45058867,0.44508374,0.42869525,0.40180090,0.36502620,0.31923703,0.26552698,0.20519780,0.13973187,0.07075639,0.00000000
0.072000,0.00000000,0.07004402,0.13832805,0.20314310,0.26287933,0.31606868,0.36142041,0.39784876,0.42449291,0.44073032,0.44618473,0.44073032,0.42449291,0.39784876,0.36142041,0.31606868,0.26287933,0.20314310,0.13832805,0.07004402,0.00000000
0.073000,0.00000000,0.06934002,0.13694046,0.20111157,0.26026058,0.31293363,0.35785106,0.39393508,0.42033021,0.43641712,0.44182120,0.43641712,0.42033021,0.39393508,0.35785106,0.31293363,0.26026058,0.20111157,0.13694046,0.06934002,0.00000000
0.074000,0.00000000,0.06864419,0.13556873,0.19910273,0.25767020,0.30983138,0.35431770,0.39005952,0.41620692,0.43214399,0.43749793,0.43214399,0.41620692,0.39005952,0.35431770,0.30983138,0.25767020,0.19910273,0.13556873,0.06864419,0.00000000
0.075000,0.00000000,0.06795633,0.13421251,0.19711612,0.25510768,0.30676143,0.35081990,0.38622175,0.41212279,0.42791074,0.43321478,0.42791074,0.41212279,0.38622175,0.35081990,0.30676143,0.25510768,0.19711612,0.13421251,0.06795633,0.00000000
0.076000,0.00000000,0.06727627,0.13287148,0.19515130,0.25257256,0.30372332,0.34735725,0.38242143,0.40807755,0.42371717,0.42897155,0.42371717,0.40807755,0.38242143,0.34735725,0.30372332,0.25257256,0.19515130,0.13287148,0.06727627,0.00000000
0.077000,0.00000000,0.06660385,0.13154532,0.19320787,0.25006436,0.30071659,0.34392935,0.37865821,0.40407095,0.41956308,0.42476805,0.41956308,0.40407095,0.37865821,0.34392935,0.30071659,0.25006436,0.19320787,0.13154532,0.06660385,0.00000000
0.078000,0.00000000,0.06593890,0.13023375,0.19128545,0.24758266,0.29774080,0.34053579,0.37493176,0.40010270,0.41544821,0.42060407,0.41544821,0.40010270,0.37493176,0.34053579,0.29774080,0.24758266,0.19128545,0.13023375,0.06593890,0.00000000
0.079000,0.00000000,0.06528128,0.12893649,0.18938365,0.24512703,0.29479554,0.33717618,0.37124175,0.39617253,0.41137235,0.41647939,0.41137235,0.39617253,0.37124175,0.33717618,0.29479554,0.24512703,0.18938365,0.12893649,0.06528128,0.00000000
0.080000,0.00000000,0.06463085,0.12765327,0.18750214,0.24269708,0.29188039,0.33385015,0.36758784,0.39228015,0.40733524,0.41239376,0.40733524,0.39228015,0.36758784,0.33385015,0.29188039,0.24269708,0.18750214,0.12765327,0.06463085,0.00000000
0.081000,0.00000000,0.06398748,0.12638385,0.18564057,0.24029243,0.28899497,0.33055732,0.36396969,0.38842526,0.40333661,0.40834694,0.40333661,0.38842526,0.36396969,0.33055732,0.28899497,0.24029243,0.18564057,0.12638385,0.06398748,0.00000000
0.082000,0.00000000,0.06335104,0.12512799,0.18379863,0.23791270,0.28613889,0.32729733,0.36038697,0.38460757,0.39937620,0.40433868,0.39937620,0.38460757,0.36038697,0.32729733,0.28613889,0.23791270,0.18379863,0.12512799,0.06335104,0.00000000
0.083000,0.00000000,0.06272140,0.12388546,0.18197600,0.23555755,0.28331179,0.32406981,0.35683935,0.38082678,0.39545374,0.40036870,0.39545374,0.38082678,0.35683935,0.32406981,0.28331179,0.23555755,0.18197600,0.12388546,0.06272140,0.00000000
